<Vector (-9.1058, -17.5696, 10.1149)>,<Euler (x=1.2024, y=-0.0000, z=-0.4980), order='XYZ'>
<Vector (-9.1058, -17.5696, 10.1149)>,<Euler (x=1.2024, y=-0.0000, z=-0.4980), order='XYZ'>
<Vector (-9.1058, -17.5643, 10.0693)>,<Euler (x=1.2043, y=-0.0000, z=-0.4981), order='XYZ'>
<Vector (-9.1057, -17.5485, 9.9338)>,<Euler (x=1.2100, y=-0.0000, z=-0.4985), order='XYZ'>
<Vector (-9.1049, -17.5221, 9.7103)>,<Euler (x=1.2195, y=-0.0000, z=-0.4991), order='XYZ'>
<Vector (-9.1022, -17.4846, 9.4007)>,<Euler (x=1.2328, y=-0.0000, z=-0.4999), order='XYZ'>
<Vector (-9.0955, -17.4357, 9.0070)>,<Euler (x=1.2499, y=-0.0000, z=-0.5008), order='XYZ'>
<Vector (-9.0817, -17.3750, 8.5312)>,<Euler (x=1.2709, y=-0.0000, z=-0.5016), order='XYZ'>
<Vector (-9.0558, -17.3022, 7.9756)>,<Euler (x=1.2958, y=0.0000, z=-0.5022), order='XYZ'>
<Vector (-9.0112, -17.2173, 7.3427)>,<Euler (x=1.3248, y=-0.0000, z=-0.5023), order='XYZ'>
<Vector (-8.9392, -17.1202, 6.6356)>,<Euler (x=1.3579, y=-0.0000, z=-0.5015), order='XYZ'>
<Vector (-8.8281, -17.0114, 5.8584)>,<Euler (x=1.3951, y=0.0000, z=-0.4992), order='XYZ'>
<Vector (-8.6628, -16.8916, 5.0171)>,<Euler (x=1.4365, y=-0.0000, z=-0.4946), order='XYZ'>
<Vector (-8.4244, -16.7622, 4.1205)>,<Euler (x=1.4819, y=0.0000, z=-0.4867), order='XYZ'>
<Vector (-8.0896, -16.6251, 3.1825)>,<Euler (x=1.5308, y=-0.0000, z=-0.4742), order='XYZ'>
<Vector (-7.6315, -16.4837, 2.2239)>,<Euler (x=1.5826, y=-0.0000, z=-0.4554), order='XYZ'>
<Vector (-7.0225, -16.3427, 1.2749)>,<Euler (x=1.6360, y=0.0000, z=-0.4282), order='XYZ'>
<Vector (-6.2411, -16.2081, 0.3752)>,<Euler (x=1.6888, y=-0.0000, z=-0.3906), order='XYZ'>
<Vector (-5.2792, -16.0861, -0.4314)>,<Euler (x=1.7385, y=-0.0000, z=-0.3409), order='XYZ'>
<Vector (-4.1468, -15.9815, -1.1071)>,<Euler (x=1.7824, y=-0.0000, z=-0.2783), order='XYZ'>
<Vector (-2.8691, -15.8963, -1.6302)>,<Euler (x=1.8180, y=-0.0000, z=-0.2035), order='XYZ'>
<Vector (-1.4768, -15.8286, -1.9986)>,<Euler (x=1.8441, y=-0.0000, z=-0.1182), order='XYZ'>
<Vector (0.0034, -15.7741, -2.2240)>,<Euler (x=1.8600, y=0.0000, z=-0.0247), order='XYZ'>
<Vector (1.5521, -15.7268, -2.3226)>,<Euler (x=1.8659, y=-0.0000, z=0.0742), order='XYZ'>
<Vector (3.1561, -15.6804, -2.3080)>,<Euler (x=1.8624, y=-0.0000, z=0.1758), order='XYZ'>
<Vector (4.8058, -15.6276, -2.1887)>,<Euler (x=1.8501, y=-0.0000, z=0.2771), order='XYZ'>
<Vector (6.4928, -15.5589, -1.9674)>,<Euler (x=1.8301, y=-0.0000, z=0.3761), order='XYZ'>
<Vector (8.2079, -15.4591, -1.6420)>,<Euler (x=1.8034, y=-0.0000, z=0.4709), order='XYZ'>
<Vector (9.9415, -15.3074, -1.2133)>,<Euler (x=1.7715, y=-0.0000, z=0.5609), order='XYZ'>
<Vector (11.6783, -15.0692, -0.6765)>,<Euler (x=1.7355, y=-0.0000, z=0.6462), order='XYZ'>
<Vector (13.3833, -14.6720, -0.0176)>,<Euler (x=1.6960, y=-0.0000, z=0.7283), order='XYZ'>
<Vector (14.9824, -13.9985, 0.7581)>,<Euler (x=1.6541, y=-0.0000, z=0.8099), order='XYZ'>
<Vector (16.2855, -12.8597, 1.5814)>,<Euler (x=1.6129, y=-0.0000, z=0.8945), order='XYZ'>
<Vector (17.0895, -11.2281, 2.2804)>,<Euler (x=1.5787, y=-0.0000, z=0.9832), order='XYZ'>
<Vector (17.4032, -9.3061, 2.7399)>,<Euler (x=1.5553, y=-0.0000, z=1.0750), order='XYZ'>
<Vector (17.4223, -7.2799, 3.0037)>,<Euler (x=1.5403, y=-0.0000, z=1.1721), order='XYZ'>
<Vector (17.2934, -5.2131, 3.1474)>,<Euler (x=1.5308, y=0.0000, z=1.2773), order='XYZ'>
<Vector (17.0941, -3.1200, 3.2241)>,<Euler (x=1.5246, y=-0.0000, z=1.3922), order='XYZ'>
<Vector (16.8745, -1.0027, 3.2776)>,<Euler (x=1.5201, y=-0.0000, z=1.5163), order='XYZ'>
<Vector (16.6664, 1.1388, 3.3423)>,<Euler (x=1.5156, y=-0.0000, z=1.6470), order='XYZ'>
<Vector (16.4841, 3.3030, 3.4399)>,<Euler (x=1.5101, y=-0.0000, z=1.7794), order='XYZ'>
<Vector (16.3261, 5.4863, 3.5816)>,<Euler (x=1.5033, y=-0.0000, z=1.9082), order='XYZ'>
<Vector (16.1741, 7.6844, 3.7694)>,<Euler (x=1.4954, y=-0.0000, z=2.0292), order='XYZ'>
<Vector (15.9862, 9.8922, 3.9935)>,<Euler (x=1.4871, y=-0.0000, z=2.1408), order='XYZ'>
<Vector (15.6819, 12.0990, 4.2251)>,<Euler (x=1.4798, y=-0.0000, z=2.2443), order='XYZ'>
<Vector (15.1077, 14.2627, 4.3952)>,<Euler (x=1.4760, y=0.0000, z=2.3441), order='XYZ'>
<Vector (14.0707, 16.2513, 4.3888)>,<Euler (x=1.4796, y=-0.0000, z=2.4450), order='XYZ'>
<Vector (12.5452, 17.8851, 4.1447)>,<Euler (x=1.4924, y=-0.0000, z=2.5474), order='XYZ'>
<Vector (10.6835, 19.0990, 3.7107)>,<Euler (x=1.5125, y=-0.0000, z=2.6495), order='XYZ'>
<Vector (8.6491, 19.9694, 3.1754)>,<Euler (x=1.5369, y=0.0000, z=2.7513), order='XYZ'>
<Vector (6.5289, 20.5934, 2.6021)>,<Euler (x=1.5633, y=-0.0000, z=2.8533), order='XYZ'>
<Vector (4.3561, 21.0145, 2.0322)>,<Euler (x=1.5898, y=-0.0000, z=2.9560), order='XYZ'>
<Vector (2.1536, 21.2969, 1.4939)>,<Euler (x=1.6148, y=-0.0000, z=3.0594), order='XYZ'>
<Vector (-0.0741, 21.4448, 1.0218)>,<Euler (x=-1.5051, y=-3.1416, z=0.0215), order='XYZ'>
<Vector (-2.3186, 21.4823, 0.6400)>,<Euler (x=1.6533, y=-0.0000, z=-3.0168), order='XYZ'>
<Vector (-4.5742, 21.3945, 0.4056)>,<Euler (x=1.6627, y=-0.0000, z=-2.9147), order='XYZ'>
<Vector (-6.8239, 21.1879, 0.3468)>,<Euler (x=1.6636, y=-0.0000, z=-2.8149), order='XYZ'>
<Vector (-9.0311, 20.8235, 0.5577)>,<Euler (x=1.6526, y=-0.0000, z=-2.7186), order='XYZ'>
<Vector (-11.1446, 20.3064, 1.0541)>,<Euler (x=1.6298, y=-0.0000, z=-2.6272), order='XYZ'>
<Vector (-13.0738, 19.6120, 1.8957)>,<Euler (x=1.5936, y=-0.0000, z=-2.5424), order='XYZ'>
